address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"6711 Park Heights Ave #112, Baltimore, MD 21215",21230,135000,2,2,1198,https://www.trulia.com/home/6711-park-heights-ave-112-baltimore-md-21215-36600487
"903 Washington Blvd, Baltimore, MD 21230",21230,210000,2,4,1336,https://www.trulia.com/home/903-washington-blvd-baltimore-md-21230-118501958
"2328 & 2330 Pickwick Rd, Gwynn Oak, MD 21207",21234,399000,2,2,1560,https://www.trulia.com/home/2328-2330-pickwick-rd-gwynn-oak-md-21207-439897083
"24 N  Curley St, Baltimore, MD 21224",21231,255900,2,2,1092,https://www.trulia.com/home/24-n-curley-st-baltimore-md-21224-36441501
"3305 Lyndale Ave, Baltimore, MD 21213",21224,169900,3,2,1300,https://www.trulia.com/home/3305-lyndale-ave-baltimore-md-21213-36457125
"2334 Edmondson Ave, Baltimore, MD 21223",21213,224900,3,4,2520,https://www.trulia.com/home/2334-edmondson-ave-baltimore-md-21223-36515123
"10 E  Lee St #908, Baltimore, MD 21202",21218,325000,2,2,1574,https://www.trulia.com/home/10-e-lee-st-908-baltimore-md-21202-36535155
"5902 Eurith Ave, Baltimore, MD 21206",21211,314997,4,3,2025,https://www.trulia.com/home/5902-eurith-ave-baltimore-md-21206-36568116
"4245 Nicholas Ave, Baltimore, MD 21206",21218,139000,3,2,1170,https://www.trulia.com/home/4245-nicholas-ave-baltimore-md-21206-36573916
"5512 Silverbell Rd, Baltimore, MD 21206",21218,250000,3,2,1152,https://www.trulia.com/home/5512-silverbell-rd-baltimore-md-21206-36575546
"7121 Park Heights Ave #105, Baltimore, MD 21215",21211,120000,2,2,1437,https://www.trulia.com/home/7121-park-heights-ave-105-baltimore-md-21215-36600195
"4021 Kathland Ave, Baltimore, MD 21207",21217,425000,5,3,1860,https://www.trulia.com/home/4021-kathland-ave-baltimore-md-21207-36625865
"523 Bloom St, Baltimore, MD 21217",21217,155000,4,2,NaN,https://www.trulia.com/home/523-bloom-st-baltimore-md-21217-294973339
"700 Washington Pl #3C, Baltimore, MD 21201",21215,475000,2,1,1617,https://www.trulia.com/home/700-washington-pl-3c-baltimore-md-21201-2063299350
"3717 Liberty Heights Ave, Baltimore, MD 21215",21215,250000,NaN,NaN,NaN,https://www.trulia.com/home/3717-Liberty-Heights-Ave-Baltimore-MD-21215-2115063042
"311 S  Ann St, Baltimore, MD 21231",21215,425000,3,2,1680,https://www.trulia.com/home/311-s-ann-st-baltimore-md-21231-36434697
"901 N  Luzerne Ave, Baltimore, MD 21205",21216,105900,3,2,1400,https://www.trulia.com/home/901-n-luzerne-ave-baltimore-md-21205-36446168
"2837 Huntingdon Ave, Baltimore, MD 21211",21230,310000,2,3,1068,https://www.trulia.com/home/2837-huntingdon-ave-baltimore-md-21211-36471928
"4410 Falls Bridge Dr #J, Baltimore, MD 21211",21202,88500,1,1,545,https://www.trulia.com/home/4410-falls-bridge-dr-j-baltimore-md-21211-36485176
"1948 W  Lafayette Ave, Baltimore, MD 21217",21201,180000,4,2,NaN,https://www.trulia.com/home/1948-w-lafayette-ave-baltimore-md-21217-36506761
"623 N  Woodington Rd, Baltimore, MD 21229",21230,247500,4,3,2360,https://www.trulia.com/home/623-n-woodington-rd-baltimore-md-21229-36507121
"3707 Colborne Rd, Baltimore, MD 21229",21230,248000,3,2,1400,https://www.trulia.com/home/3707-colborne-rd-baltimore-md-21229-36510931
"1420 W  Lombard St, Baltimore, MD 21223",21230,205000,2,2,1395,https://www.trulia.com/home/1420-w-lombard-st-baltimore-md-21223-36521352
"426 S  Smallwood St, Baltimore, MD 21223",21229,169000,2,2,910,https://www.trulia.com/home/426-s-smallwood-st-baltimore-md-21223-36526165
"3101 Wilkens Ave, Baltimore, MD 21223",21225,359000,6,3,2255,https://www.trulia.com/home/3101-wilkens-ave-baltimore-md-21223-36545565
"4414 Kavon Ave, Baltimore, MD 21206",21224,160000,3,2,1320,https://www.trulia.com/home/4414-kavon-ave-baltimore-md-21206-36574002
"3204 Montebello Ter, Baltimore, MD 21214",21224,399000,4,3,2134,https://www.trulia.com/home/3204-montebello-ter-baltimore-md-21214-36577115
"6307 Fairdel Ave, Baltimore, MD 21206",21224,249900,3,2,1378,https://www.trulia.com/home/6307-fairdel-ave-baltimore-md-21206-36585144
"2923 Edgecombe Cir N, Baltimore, MD 21215",21213,159000,2,2,NaN,https://www.trulia.com/home/2923-edgecombe-cir-n-baltimore-md-21215-36595109
"3907 W  Rogers Ave, Baltimore, MD 21215",21213,260000,3,2,1160,https://www.trulia.com/home/3907-w-rogers-ave-baltimore-md-21215-36599054
"6176 Chinquapin Pkwy, Baltimore, MD 21239",21213,237900,3,3,1352,https://www.trulia.com/home/6176-chinquapin-pkwy-baltimore-md-21239-36617514
